filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,0,"{""name"":""rect"",""x"":24,""y"":470,""width"":52,""height"":73}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,1,"{""name"":""rect"",""x"":95,""y"":495,""width"":35,""height"":40}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,2,"{""name"":""rect"",""x"":174,""y"":488,""width"":48,""height"":38}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,3,"{""name"":""rect"",""x"":472,""y"":508,""width"":49,""height"":46}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,4,"{""name"":""rect"",""x"":685,""y"":494,""width"":58,""height"":76}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,5,"{""name"":""rect"",""x"":735,""y"":475,""width"":59,""height"":77}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,6,"{""name"":""rect"",""x"":810,""y"":482,""width"":58,""height"":68}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,7,"{""name"":""rect"",""x"":991,""y"":482,""width"":43,""height"":77}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,8,"{""name"":""rect"",""x"":1039,""y"":472,""width"":23,""height"":94}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,9,"{""name"":""rect"",""x"":1064,""y"":509,""width"":45,""height"":39}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,10,"{""name"":""rect"",""x"":1118,""y"":478,""width"":48,""height"":102}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,11,"{""name"":""rect"",""x"":1170,""y"":500,""width"":60,""height"":51}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,12,"{""name"":""rect"",""x"":1297,""y"":494,""width"":45,""height"":90}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,13,"{""name"":""rect"",""x"":1408,""y"":476,""width"":42,""height"":54}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,14,"{""name"":""rect"",""x"":1508,""y"":494,""width"":39,""height"":43}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,15,"{""name"":""rect"",""x"":1354,""y"":506,""width"":41,""height"":39}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,16,"{""name"":""rect"",""x"":1431,""y"":509,""width"":72,""height"":59}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,17,"{""name"":""rect"",""x"":1645,""y"":505,""width"":52,""height"":69}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,18,"{""name"":""rect"",""x"":1723,""y"":516,""width"":27,""height"":30}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,19,"{""name"":""rect"",""x"":1756,""y"":513,""width"":35,""height"":60}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,20,"{""name"":""rect"",""x"":1797,""y"":495,""width"":60,""height"":69}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,21,"{""name"":""rect"",""x"":1866,""y"":496,""width"":41,""height"":84}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,22,"{""name"":""rect"",""x"":1932,""y"":490,""width"":46,""height"":77}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,23,"{""name"":""rect"",""x"":2026,""y"":485,""width"":35,""height"":92}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,24,"{""name"":""rect"",""x"":2061,""y"":515,""width"":76,""height"":41}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,25,"{""name"":""rect"",""x"":2133,""y"":490,""width"":35,""height"":80}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,26,"{""name"":""rect"",""x"":2172,""y"":504,""width"":49,""height"":66}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,27,"{""name"":""rect"",""x"":2221,""y"":514,""width"":28,""height"":62}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,28,"{""name"":""rect"",""x"":2273,""y"":503,""width"":39,""height"":89}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,29,"{""name"":""rect"",""x"":2311,""y"":509,""width"":46,""height"":82}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,30,"{""name"":""rect"",""x"":2356,""y"":518,""width"":33,""height"":70}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,31,"{""name"":""rect"",""x"":2454,""y"":511,""width"":34,""height"":52}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,32,"{""name"":""rect"",""x"":2540,""y"":516,""width"":33,""height"":65}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,33,"{""name"":""rect"",""x"":2605,""y"":511,""width"":33,""height"":69}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,34,"{""name"":""rect"",""x"":2658,""y"":522,""width"":46,""height"":54}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,35,"{""name"":""rect"",""x"":2703,""y"":511,""width"":30,""height"":78}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,36,"{""name"":""rect"",""x"":2744,""y"":509,""width"":58,""height"":97}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,37,"{""name"":""rect"",""x"":2891,""y"":506,""width"":47,""height"":77}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,38,"{""name"":""rect"",""x"":2948,""y"":530,""width"":31,""height"":50}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,39,"{""name"":""rect"",""x"":2976,""y"":511,""width"":33,""height"":75}","{""bean_1"":{""1_plant"":true}}"
2201_1002_7m.png,4679526,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",119,40,"{""name"":""rect"",""x"":3194,""y"":526,""width"":43,""height"":68}","{""bean_1"":{""1_plant"":true}}"
