image_id,width,height,source,bbox
2202_3008_7m,3894,671,bean,"[548,142,30,33]"
2202_3008_7m,3894,671,bean,"[583,131,28,42]"
2202_3008_7m,3894,671,bean,"[613,148,12,20]"
2202_3008_7m,3894,671,bean,"[652,130,31,36]"
2202_3008_7m,3894,671,bean,"[692,154,30,32]"
2202_3008_7m,3894,671,bean,"[783,153,24,32]"
2202_3008_7m,3894,671,bean,"[815,134,39,57]"
2202_3008_7m,3894,671,bean,"[944,137,35,48]"
2202_3008_7m,3894,671,bean,"[1002,164,34,26]"
2202_3008_7m,3894,671,bean,"[1083,163,47,25]"
2202_3008_7m,3894,671,bean,"[1176,142,42,43]"
2202_3008_7m,3894,671,bean,"[1221,157,29,28]"
2202_3008_7m,3894,671,bean,"[1297,145,25,36]"
2202_3008_7m,3894,671,bean,"[1325,147,19,47]"
2202_3008_7m,3894,671,bean,"[1458,144,26,28]"
2202_3008_7m,3894,671,bean,"[1535,165,37,21]"
2202_3008_7m,3894,671,bean,"[1642,156,27,42]"
2202_3008_7m,3894,671,bean,"[1708,162,29,32]"
2202_3008_7m,3894,671,bean,"[1769,157,30,25]"
2202_3008_7m,3894,671,bean,"[1584,146,22,42]"
2202_3008_7m,3894,671,bean,"[1906,172,8,8]"
2202_3008_7m,3894,671,bean,"[1966,157,28,56]"
2202_3008_7m,3894,671,bean,"[2019,158,28,38]"
2202_3008_7m,3894,671,bean,"[2060,160,41,48]"
2202_3008_7m,3894,671,bean,"[2126,169,22,37]"
2202_3008_7m,3894,671,bean,"[2233,161,19,23]"
2202_3008_7m,3894,671,bean,"[2282,164,37,38]"
2202_3008_7m,3894,671,bean,"[2334,166,31,43]"
2202_3008_7m,3894,671,bean,"[2378,164,43,29]"
2202_3008_7m,3894,671,bean,"[2439,172,21,15]"
2202_3008_7m,3894,671,bean,"[2512,174,19,20]"
2202_3008_7m,3894,671,bean,"[2562,175,18,36]"
2202_3008_7m,3894,671,bean,"[2588,171,27,34]"
2202_3008_7m,3894,671,bean,"[2630,166,20,49]"
2202_3008_7m,3894,671,bean,"[2705,167,27,18]"
2202_3008_7m,3894,671,bean,"[2758,169,15,22]"
2202_3008_7m,3894,671,bean,"[2789,195,33,36]"
2202_3008_7m,3894,671,bean,"[2831,165,35,26]"
2202_3008_7m,3894,671,bean,"[2921,163,27,40]"
2202_3008_7m,3894,671,bean,"[3278,182,36,31]"
2202_3008_7m,3894,671,bean,"[3355,182,56,19]"
2202_3008_7m,3894,671,bean,"[3477,176,20,48]"
2202_3008_7m,3894,671,bean,"[3449,165,30,43]"
2202_3008_7m,3894,671,bean,"[3546,212,30,17]"
2202_3008_7m,3894,671,bean,"[3577,166,29,40]"
2202_3008_7m,3894,671,bean,"[3634,190,42,29]"
2202_3008_7m,3894,671,bean,"[3214,550,27,30]"
2202_3008_7m,3894,671,bean,"[3287,546,47,31]"
2202_3008_7m,3894,671,bean,"[339,503,71,37]"
2202_3008_7m,3894,671,bean,"[433,500,32,48]"
2202_3008_7m,3894,671,bean,"[473,494,24,48]"
2202_3008_7m,3894,671,bean,"[550,501,35,43]"
2202_3008_7m,3894,671,bean,"[585,485,34,56]"
2202_3008_7m,3894,671,bean,"[634,515,24,28]"
2202_3008_7m,3894,671,bean,"[657,510,28,52]"
2202_3008_7m,3894,671,bean,"[735,507,20,24]"
2202_3008_7m,3894,671,bean,"[777,504,14,18]"
2202_3008_7m,3894,671,bean,"[840,494,29,55]"
2202_3008_7m,3894,671,bean,"[879,510,22,50]"
